,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
162,"113-930 boulevard Marcel-Laurin, Saint-Laurent, QC",869.73 ft² (80.80 m²),North-East,1.0,2.0,Condominium,1.0,,H4M 0A3,275000,2007
163,"204-7230 rue Alexandra, Villeray / St-Michel / Parc-Extension, QC",71.5 m² (769.62 ft²),,1.0,2.0,Condominium,2.0,,H2R 2Z2,425000,2015
164,"5778 avenue des Érables, Rosemont / La Petite Patrie, QC",930 ft² (86.40 m²),,1.0,3.0,Condominium,1.0,323300.0,H2G 2M1,400000,1940
165,"407-10681 rue de Martigny, Ahuntsic / Cartierville, QC",771 ft² (71.63 m²),,1.0,2.0,Condominium,4.0,,H2B 2M8,289000,2013
166,"505-199 rue de la Rotonde, L'Ile Des Soeurs, QC",820 ft² (76.18 m²),South-East,1.0,2.0,Condominium,5.0,,H3E 0C1,449000,2012
167,", Mercier / Hochelaga / Maisonneuve, QC",60.3 m² (649.06 ft²),,1.0,2.0,Condominium,1.0,178700.0,,nformation provided by the seller,2010
168,"B-5700 avenue Christophe-Colomb, Rosemont / La Petite Patrie, QC",1 165 ft² (108.23 m²),North-West,1.0,3.0,Condominium,1.0,380400.0,H2S 2G1,595000,2002
169,"4162 rue Adam, Mercier / Hochelaga / Maisonneuve, QC",750 ft² (69.68 m²),South-East,1.0,2.0,Condominium,3.0,264100.0,H1V 1S7,315000,1907
170,"507-7270 avenue de Beaufort, Anjou, QC",1 234 ft² (114.64 m²),,1.0,2.0,Condominium,5.0,,H1M 3W4,360000,2002
171,"1501-100 rue André-Prevost, L'Ile Des Soeurs, QC",2 400 ft² (222.97 m²),,2.5,3.0,Condominium,15.0,,H3E 0C3,1315000,2013
172,"410-1830 rue Panet, Ville-Marie (Centre-Ville et Vieux Mtl), QC",51.9 m² (558.65 ft²),,1.0,1.0,Condominium,4.0,283200.0,H2L 0G1,320000,1913
